"Time","{instance=""44.223.33.156:15692"", job=""amazonmq-rabbitmq""}","{instance=""44.223.33.156:15692"", job=""amazonmq-rabbitmq""}","B {instance=""44.223.33.156:15692"", job=""amazonmq-rabbitmq""}"
2025-03-30 15:19:01,40.0,0,∞
2025-03-30 15:19:02,40.0,0,∞
2025-03-30 15:19:03,40.0,0,∞
2025-03-30 15:19:04,40.0,0,∞
2025-03-30 15:19:05,40.0,0,∞
2025-03-30 15:19:06,40.0,0,∞
2025-03-30 15:19:07,40.0,0,∞
2025-03-30 15:19:08,40.0,0,∞
2025-03-30 15:19:09,40.0,0,∞
2025-03-30 15:19:10,40.0,0,∞
2025-03-30 15:19:11,40.0,0,∞
2025-03-30 15:19:12,40.0,0,∞
2025-03-30 15:19:13,37.7,0,∞
2025-03-30 15:19:14,37.7,0,∞
2025-03-30 15:19:15,37.7,0,∞
2025-03-30 15:19:16,37.7,0,∞
2025-03-30 15:19:17,37.7,0,∞
2025-03-30 15:19:18,37.7,0,∞
2025-03-30 15:19:19,37.7,0,∞
2025-03-30 15:19:20,37.7,0,∞
2025-03-30 15:19:21,37.7,0,∞
2025-03-30 15:19:22,37.7,0,∞
2025-03-30 15:19:23,37.7,0,∞
2025-03-30 15:19:24,37.7,0,∞
2025-03-30 15:19:25,37.7,0,∞
2025-03-30 15:19:26,37.7,0,∞
2025-03-30 15:19:27,37.7,0,∞
2025-03-30 15:19:28,35.1,0,∞
2025-03-30 15:19:29,35.1,0,∞
2025-03-30 15:19:30,35.1,0,∞
2025-03-30 15:19:31,35.1,0,∞
2025-03-30 15:19:32,35.1,0,∞
2025-03-30 15:19:33,35.1,0,∞
2025-03-30 15:19:34,35.1,0,∞
2025-03-30 15:19:35,35.1,0,∞
2025-03-30 15:19:36,35.1,0,∞
2025-03-30 15:19:37,35.1,0,∞
2025-03-30 15:19:38,35.1,0,∞
2025-03-30 15:19:39,35.1,0,∞
2025-03-30 15:19:40,35.1,0,∞
2025-03-30 15:19:41,35.1,0,∞
2025-03-30 15:19:42,35.1,0,∞
2025-03-30 15:19:43,32.5,0,∞
2025-03-30 15:19:44,32.5,0,∞
2025-03-30 15:19:45,32.5,0,∞
2025-03-30 15:19:46,32.5,0,∞
2025-03-30 15:19:47,32.5,0,∞
2025-03-30 15:19:48,32.5,0,∞
2025-03-30 15:19:49,32.5,0,∞
2025-03-30 15:19:50,32.5,0,∞
2025-03-30 15:19:51,32.5,0,∞
2025-03-30 15:19:52,32.5,0,∞
2025-03-30 15:19:53,32.5,0,∞
2025-03-30 15:19:54,32.5,0,∞
2025-03-30 15:19:55,32.5,0,∞
2025-03-30 15:19:56,32.5,0,∞
2025-03-30 15:19:57,32.5,0,∞
2025-03-30 15:19:58,29.9,0,∞
2025-03-30 15:19:59,29.9,0,∞
2025-03-30 15:20:00,29.9,0,∞
2025-03-30 15:20:01,29.9,0,∞
