"Time","rabbit@rabbitmq-77d46f474f-ng7cg"
2025-03-28 23:36:33,4.4452 GiB
2025-03-28 23:36:34,4.4455 GiB
2025-03-28 23:36:35,4.4455 GiB
2025-03-28 23:36:36,4.4455 GiB
2025-03-28 23:36:37,4.4455 GiB
2025-03-28 23:36:38,4.4455 GiB
2025-03-28 23:36:39,4.4461 GiB
2025-03-28 23:36:40,4.4461 GiB
2025-03-28 23:36:41,4.4461 GiB
2025-03-28 23:36:42,4.4461 GiB
2025-03-28 23:36:43,4.4461 GiB
2025-03-28 23:36:44,4.4465 GiB
2025-03-28 23:36:45,4.4465 GiB
2025-03-28 23:36:46,4.4465 GiB
2025-03-28 23:36:47,4.4465 GiB
2025-03-28 23:36:48,4.4465 GiB
2025-03-28 23:36:49,4.4452 GiB
2025-03-28 23:36:50,4.4452 GiB
2025-03-28 23:36:51,4.4452 GiB
2025-03-28 23:36:52,4.4452 GiB
2025-03-28 23:36:53,4.4452 GiB
2025-03-28 23:36:54,4.4458 GiB
2025-03-28 23:36:55,4.4458 GiB
2025-03-28 23:36:56,4.4458 GiB
2025-03-28 23:36:57,4.4458 GiB
2025-03-28 23:36:58,4.4458 GiB
2025-03-28 23:36:59,4.4465 GiB
2025-03-28 23:37:00,4.4465 GiB
2025-03-28 23:37:01,4.4465 GiB
2025-03-28 23:37:02,4.4465 GiB
2025-03-28 23:37:03,4.4465 GiB
2025-03-28 23:37:04,4.4457 GiB
2025-03-28 23:37:05,4.4457 GiB
2025-03-28 23:37:06,4.4457 GiB
2025-03-28 23:37:07,4.4457 GiB
2025-03-28 23:37:08,4.4457 GiB
2025-03-28 23:37:09,4.4460 GiB
2025-03-28 23:37:10,4.4460 GiB
2025-03-28 23:37:11,4.4460 GiB
2025-03-28 23:37:12,4.4460 GiB
2025-03-28 23:37:13,4.4460 GiB
2025-03-28 23:37:14,4.4458 GiB
2025-03-28 23:37:15,4.4458 GiB
2025-03-28 23:37:16,4.4458 GiB
2025-03-28 23:37:17,4.4458 GiB
2025-03-28 23:37:18,4.4458 GiB
2025-03-28 23:37:19,4.4454 GiB
2025-03-28 23:37:20,4.4454 GiB
2025-03-28 23:37:21,4.4454 GiB
2025-03-28 23:37:22,4.4454 GiB
2025-03-28 23:37:23,4.4454 GiB
2025-03-28 23:37:24,4.4459 GiB
2025-03-28 23:37:25,4.4459 GiB
