"Time","rabbit@rabbitmq-77d46f474f-ng7cg"
2025-04-07 00:13:10,4.4455 GiB
2025-04-07 00:13:11,4.4455 GiB
2025-04-07 00:13:12,4.4455 GiB
2025-04-07 00:13:13,4.4455 GiB
2025-04-07 00:13:14,4.4468 GiB
2025-04-07 00:13:15,4.4468 GiB
2025-04-07 00:13:16,4.4468 GiB
2025-04-07 00:13:17,4.4468 GiB
2025-04-07 00:13:18,4.4468 GiB
2025-04-07 00:13:19,4.4464 GiB
2025-04-07 00:13:20,4.4464 GiB
2025-04-07 00:13:21,4.4464 GiB
2025-04-07 00:13:22,4.4464 GiB
2025-04-07 00:13:23,4.4464 GiB
2025-04-07 00:13:24,4.4460 GiB
2025-04-07 00:13:25,4.4460 GiB
2025-04-07 00:13:26,4.4460 GiB
2025-04-07 00:13:27,4.4460 GiB
2025-04-07 00:13:28,4.4460 GiB
2025-04-07 00:13:29,4.4474 GiB
2025-04-07 00:13:30,4.4474 GiB
2025-04-07 00:13:31,4.4474 GiB
2025-04-07 00:13:32,4.4474 GiB
2025-04-07 00:13:33,4.4474 GiB
2025-04-07 00:13:34,4.4477 GiB
2025-04-07 00:13:35,4.4477 GiB
2025-04-07 00:13:36,4.4477 GiB
2025-04-07 00:13:37,4.4477 GiB
2025-04-07 00:13:38,4.4477 GiB
2025-04-07 00:13:39,4.4464 GiB
2025-04-07 00:13:40,4.4464 GiB
2025-04-07 00:13:41,4.4464 GiB
2025-04-07 00:13:42,4.4464 GiB
2025-04-07 00:13:43,4.4464 GiB
2025-04-07 00:13:44,4.4478 GiB
2025-04-07 00:13:45,4.4478 GiB
2025-04-07 00:13:46,4.4478 GiB
2025-04-07 00:13:47,4.4478 GiB
2025-04-07 00:13:48,4.4478 GiB
2025-04-07 00:13:49,4.4475 GiB
2025-04-07 00:13:50,4.4475 GiB
2025-04-07 00:13:51,4.4475 GiB
2025-04-07 00:13:52,4.4475 GiB
2025-04-07 00:13:53,4.4475 GiB
2025-04-07 00:13:54,4.4480 GiB
2025-04-07 00:13:55,4.4480 GiB
2025-04-07 00:13:56,4.4480 GiB
2025-04-07 00:13:57,4.4480 GiB
2025-04-07 00:13:58,4.4480 GiB
2025-04-07 00:13:59,4.4477 GiB
2025-04-07 00:14:00,4.4477 GiB
