"Time","{instance=""rabbitmq:15692"", job=""rabbitmq""}","{instance=""rabbitmq:15692"", job=""rabbitmq""}","B {instance=""rabbitmq:15692"", job=""rabbitmq""}"
2025-03-28 23:32:54,42.6,0,∞
2025-03-28 23:32:55,42.6,0,∞
2025-03-28 23:32:56,42.6,0,∞
2025-03-28 23:32:57,42.6,0,∞
2025-03-28 23:32:58,42.6,0,∞
2025-03-28 23:32:59,40.3,0,∞
2025-03-28 23:33:00,40.3,0,∞
2025-03-28 23:33:01,40.3,0,∞
2025-03-28 23:33:02,40.3,0,∞
2025-03-28 23:33:03,40.3,0,∞
2025-03-28 23:33:04,38.1,0,∞
2025-03-28 23:33:05,38.1,0,∞
2025-03-28 23:33:06,38.1,0,∞
2025-03-28 23:33:07,38.1,0,∞
2025-03-28 23:33:08,38.1,0,∞
2025-03-28 23:33:09,35.9,0,∞
2025-03-28 23:33:10,35.9,0,∞
2025-03-28 23:33:11,35.9,0,∞
2025-03-28 23:33:12,35.9,0,∞
2025-03-28 23:33:13,35.9,0,∞
2025-03-28 23:33:14,33.6,0,∞
2025-03-28 23:33:15,33.6,0,∞
2025-03-28 23:33:16,33.6,0,∞
2025-03-28 23:33:17,33.6,0,∞
2025-03-28 23:33:18,33.6,0,∞
2025-03-28 23:33:19,35.7,0,∞
2025-03-28 23:33:20,35.7,0,∞
2025-03-28 23:33:21,35.7,0,∞
2025-03-28 23:33:22,35.7,0,∞
2025-03-28 23:33:23,35.7,0,∞
2025-03-28 23:33:24,33.2,0,∞
2025-03-28 23:33:25,33.2,0,∞
2025-03-28 23:33:26,33.2,0,∞
2025-03-28 23:33:27,33.2,0,∞
2025-03-28 23:33:28,33.2,0,∞
2025-03-28 23:33:29,30.7,0,∞
2025-03-28 23:33:30,30.7,0,∞
2025-03-28 23:33:31,30.7,0,∞
2025-03-28 23:33:32,30.7,0,∞
2025-03-28 23:33:33,30.7,0,∞
2025-03-28 23:33:34,28.1,0,∞
2025-03-28 23:33:35,28.1,0,∞
2025-03-28 23:33:36,28.1,0,∞
2025-03-28 23:33:37,28.1,0,∞
2025-03-28 23:33:38,28.1,0,∞
2025-03-28 23:33:39,25.6,0,∞
2025-03-28 23:33:40,25.6,0,∞
2025-03-28 23:33:41,25.6,0,∞
2025-03-28 23:33:42,25.6,0,∞
2025-03-28 23:33:43,25.6,0,∞
2025-03-28 23:33:44,23.1,0,∞
2025-03-28 23:33:45,23.1,0,∞
2025-03-28 23:33:46,23.1,0,∞
2025-03-28 23:33:47,23.1,0,∞
2025-03-28 23:33:48,23.1,0,∞
2025-03-28 23:33:49,20.6,0,∞
2025-03-28 23:33:50,20.6,0,∞
2025-03-28 23:33:51,20.6,0,∞
2025-03-28 23:33:52,20.6,0,∞
2025-03-28 23:33:53,20.6,0,∞
2025-03-28 23:33:54,18.1,0,∞
2025-03-28 23:33:55,18.1,0,∞
2025-03-28 23:33:56,18.1,0,∞
2025-03-28 23:33:57,18.1,0,∞
2025-03-28 23:33:58,18.1,0,∞
2025-03-28 23:33:59,15.5,0,∞
2025-03-28 23:34:00,15.5,0,∞
2025-03-28 23:34:01,15.5,0,∞
2025-03-28 23:34:02,15.5,0,∞
2025-03-28 23:34:03,15.5,0,∞
2025-03-28 23:34:04,12.9,0,∞
2025-03-28 23:34:05,12.9,0,∞
2025-03-28 23:34:06,12.9,0,∞
2025-03-28 23:34:07,12.9,0,∞
2025-03-28 23:34:08,12.9,0,∞
2025-03-28 23:34:09,10.6,0,∞
2025-03-28 23:34:10,10.6,0,∞
2025-03-28 23:34:11,10.6,0,∞
2025-03-28 23:34:12,10.6,0,∞
2025-03-28 23:34:13,10.6,0,∞
2025-03-28 23:34:14,8.51,0,∞
2025-03-28 23:34:15,8.51,0,∞
2025-03-28 23:34:16,8.51,0,∞
2025-03-28 23:34:17,8.51,0,∞
2025-03-28 23:34:18,8.51,0,∞
2025-03-28 23:34:19,6.64,0,∞
2025-03-28 23:34:20,6.64,0,∞
2025-03-28 23:34:21,6.64,0,∞
2025-03-28 23:34:22,6.64,0,∞
2025-03-28 23:34:23,6.64,0,∞
2025-03-28 23:34:24,4.98,0,∞
2025-03-28 23:34:25,4.98,0,∞
2025-03-28 23:34:26,4.98,0,∞
2025-03-28 23:34:27,4.98,0,∞
2025-03-28 23:34:28,4.98,0,∞
2025-03-28 23:34:29,3.56,0,∞
2025-03-28 23:34:30,3.56,0,∞
2025-03-28 23:34:31,3.56,0,∞
2025-03-28 23:34:32,3.56,0,∞
2025-03-28 23:34:33,3.56,0,∞
2025-03-28 23:34:34,2.36,0,∞
2025-03-28 23:34:35,2.36,0,∞
2025-03-28 23:34:36,2.36,0,∞
2025-03-28 23:34:37,2.36,0,∞
2025-03-28 23:34:38,2.36,0,∞
2025-03-28 23:34:39,1.42,0,∞
2025-03-28 23:34:40,1.42,0,∞
2025-03-28 23:34:41,1.42,0,∞
2025-03-28 23:34:42,1.42,0,∞
2025-03-28 23:34:43,1.42,0,∞
2025-03-28 23:34:44,0.709,0,∞
2025-03-28 23:34:45,0.709,0,∞
2025-03-28 23:34:46,0.709,0,∞
2025-03-28 23:34:47,0.709,0,∞
2025-03-28 23:34:48,0.709,0,∞
2025-03-28 23:34:49,0.236,0,∞
2025-03-28 23:34:50,0.236,0,∞
2025-03-28 23:34:51,0.236,0,∞
2025-03-28 23:34:52,0.236,0,∞
2025-03-28 23:34:53,0.236,0,∞
2025-03-28 23:34:54,0,0,NaN
2025-03-28 23:34:55,0,0,NaN
2025-03-28 23:34:56,0,0,NaN
2025-03-28 23:34:57,0,0,NaN
2025-03-28 23:34:58,0,0,NaN
2025-03-28 23:34:59,0,0,NaN
2025-03-28 23:35:00,0,0,NaN
2025-03-28 23:35:01,0,0,NaN
2025-03-28 23:35:02,0,0,NaN
2025-03-28 23:35:03,0,0,NaN
2025-03-28 23:35:04,0,0,NaN
2025-03-28 23:35:05,0,0,NaN
2025-03-28 23:35:06,0,0,NaN
2025-03-28 23:35:07,0,0,NaN
2025-03-28 23:35:08,0,0,NaN
2025-03-28 23:35:09,0,0,NaN
2025-03-28 23:35:10,0,0,NaN
2025-03-28 23:35:11,0,0,NaN
2025-03-28 23:35:12,0,0,NaN
2025-03-28 23:35:13,0,0,NaN
2025-03-28 23:35:14,0,0,NaN
2025-03-28 23:35:15,0,0,NaN
2025-03-28 23:35:16,0,0,NaN
2025-03-28 23:35:17,0,0,NaN
2025-03-28 23:35:18,0,0,NaN
2025-03-28 23:35:19,0,0,NaN
2025-03-28 23:35:20,0,0,NaN
2025-03-28 23:35:21,0,0,NaN
2025-03-28 23:35:22,0,0,NaN
2025-03-28 23:35:23,0,0,NaN
2025-03-28 23:35:24,0,0,NaN
2025-03-28 23:35:25,0,0,NaN
2025-03-28 23:35:26,0,0,NaN
2025-03-28 23:35:27,0,0,NaN
2025-03-28 23:35:28,0,0,NaN
2025-03-28 23:35:29,0,0,NaN
2025-03-28 23:35:30,0,0,NaN
2025-03-28 23:35:31,0,0,NaN
2025-03-28 23:35:32,0,0,NaN
2025-03-28 23:35:33,0,0,NaN
2025-03-28 23:35:34,0,0,NaN
2025-03-28 23:35:35,0,0,NaN
2025-03-28 23:35:36,0,0,NaN
2025-03-28 23:35:37,0,0,NaN
2025-03-28 23:35:38,0,0,NaN
2025-03-28 23:35:39,0,0,NaN
2025-03-28 23:35:40,0,0,NaN
2025-03-28 23:35:41,0,0,NaN
2025-03-28 23:35:42,0,0,NaN
2025-03-28 23:35:43,0,0,NaN
2025-03-28 23:35:44,0,0,NaN
2025-03-28 23:35:45,0,0,NaN
2025-03-28 23:35:46,0,0,NaN
2025-03-28 23:35:47,0,0,NaN
2025-03-28 23:35:48,0,0,NaN
2025-03-28 23:35:49,0,0,NaN
2025-03-28 23:35:50,0,0,NaN
2025-03-28 23:35:51,0,0,NaN
2025-03-28 23:35:52,0,0,NaN
2025-03-28 23:35:53,0,0,NaN
2025-03-28 23:35:54,0,0,NaN
2025-03-28 23:35:55,0,0,NaN
2025-03-28 23:35:56,0,0,NaN
2025-03-28 23:35:57,0,0,NaN
2025-03-28 23:35:58,0,0,NaN
2025-03-28 23:35:59,0,0,NaN
2025-03-28 23:36:00,0,0,NaN
2025-03-28 23:36:01,0,0,NaN
2025-03-28 23:36:02,0,0,NaN
2025-03-28 23:36:03,0,0,NaN
2025-03-28 23:36:04,0,0,NaN
2025-03-28 23:36:05,0,0,NaN
2025-03-28 23:36:06,0,0,NaN
2025-03-28 23:36:07,0,0,NaN
2025-03-28 23:36:08,0,0,NaN
2025-03-28 23:36:09,0,0,NaN
2025-03-28 23:36:10,0,0,NaN
2025-03-28 23:36:11,0,0,NaN
2025-03-28 23:36:12,0,0,NaN
2025-03-28 23:36:13,0,0,NaN
2025-03-28 23:36:14,0,0,NaN
2025-03-28 23:36:15,0,0,NaN
2025-03-28 23:36:16,0,0,NaN
2025-03-28 23:36:17,0,0,NaN
2025-03-28 23:36:18,0,0,NaN
2025-03-28 23:36:19,0,0,NaN
2025-03-28 23:36:20,0,0,NaN
2025-03-28 23:36:21,0,0,NaN
2025-03-28 23:36:22,0,0,NaN
2025-03-28 23:36:23,0,0,NaN
2025-03-28 23:36:24,0,0,NaN
2025-03-28 23:36:25,0,0,NaN
2025-03-28 23:36:26,0,0,NaN
2025-03-28 23:36:27,0,0,NaN
2025-03-28 23:36:28,0,0,NaN
2025-03-28 23:36:29,0,0,NaN
2025-03-28 23:36:30,0,0,NaN
2025-03-28 23:36:31,0,0,NaN
2025-03-28 23:36:32,0,0,NaN
2025-03-28 23:36:33,0,0,NaN
2025-03-28 23:36:34,0,0,NaN
2025-03-28 23:36:35,0,0,NaN
2025-03-28 23:36:36,0,0,NaN
2025-03-28 23:36:37,0,0,NaN
2025-03-28 23:36:38,0,0,NaN
2025-03-28 23:36:39,0,0,NaN
2025-03-28 23:36:40,0,0,NaN
2025-03-28 23:36:41,0,0,NaN
2025-03-28 23:36:42,0,0,NaN
2025-03-28 23:36:43,0,0,NaN
2025-03-28 23:36:44,0,0,NaN
2025-03-28 23:36:45,0,0,NaN
2025-03-28 23:36:46,0,0,NaN
2025-03-28 23:36:47,0,0,NaN
2025-03-28 23:36:48,0,0,NaN
2025-03-28 23:36:49,0,0,NaN
2025-03-28 23:36:50,0,0,NaN
2025-03-28 23:36:51,0,0,NaN
2025-03-28 23:36:52,0,0,NaN
2025-03-28 23:36:53,0,0,NaN
2025-03-28 23:36:54,0,0,NaN
2025-03-28 23:36:55,0,0,NaN
2025-03-28 23:36:56,0,0,NaN
2025-03-28 23:36:57,0,0,NaN
2025-03-28 23:36:58,0,0,NaN
2025-03-28 23:36:59,0,0,NaN
2025-03-28 23:37:00,0,0,NaN
2025-03-28 23:37:01,0,0,NaN
2025-03-28 23:37:02,0,0,NaN
2025-03-28 23:37:03,0,0,NaN
2025-03-28 23:37:04,0,0,NaN
2025-03-28 23:37:05,0,0,NaN
2025-03-28 23:37:06,0,0,NaN
2025-03-28 23:37:07,0,0,NaN
2025-03-28 23:37:08,0,0,NaN
2025-03-28 23:37:09,0,0,NaN
2025-03-28 23:37:10,0,0,NaN
2025-03-28 23:37:11,0,0,NaN
2025-03-28 23:37:12,0,0,NaN
2025-03-28 23:37:13,0,0,NaN
2025-03-28 23:37:14,0,0,NaN
2025-03-28 23:37:15,0,0,NaN
2025-03-28 23:37:16,0,0,NaN
2025-03-28 23:37:17,0,0,NaN
2025-03-28 23:37:18,0,0,NaN
2025-03-28 23:37:19,0,0,NaN
2025-03-28 23:37:20,0,0,NaN
2025-03-28 23:37:21,0,0,NaN
2025-03-28 23:37:22,0,0,NaN
2025-03-28 23:37:23,0,0,NaN
2025-03-28 23:37:24,0,0,NaN
2025-03-28 23:37:25,0,0,NaN
2025-03-28 23:37:26,0,0,NaN
2025-03-28 23:37:27,0,0,NaN
2025-03-28 23:37:28,0,0,NaN
2025-03-28 23:37:29,0,0,NaN
2025-03-28 23:37:30,0,0,NaN
2025-03-28 23:37:31,0,0,NaN
2025-03-28 23:37:32,0,0,NaN
2025-03-28 23:37:33,0,0,NaN
2025-03-28 23:37:34,0,0,NaN
2025-03-28 23:37:35,0,0,NaN
2025-03-28 23:37:36,0,0,NaN
2025-03-28 23:37:37,0,0,NaN
2025-03-28 23:37:38,0,0,NaN
2025-03-28 23:37:39,0,0,NaN
2025-03-28 23:37:40,0,0,NaN
2025-03-28 23:37:41,0,0,NaN
2025-03-28 23:37:42,0,0,NaN
2025-03-28 23:37:43,0,0,NaN
2025-03-28 23:37:44,0,0,NaN
2025-03-28 23:37:45,0,0,NaN
2025-03-28 23:37:46,0,0,NaN
2025-03-28 23:37:47,0,0,NaN
2025-03-28 23:37:48,0,0,NaN
2025-03-28 23:37:49,0,0,NaN
2025-03-28 23:37:50,0,0,NaN
2025-03-28 23:37:51,0,0,NaN
2025-03-28 23:37:52,0,0,NaN
2025-03-28 23:37:53,0,0,NaN
2025-03-28 23:37:54,0,0,NaN
2025-03-28 23:37:55,0,0,NaN
2025-03-28 23:37:56,0,0,NaN
2025-03-28 23:37:57,0,0,NaN
2025-03-28 23:37:58,0,0,NaN
2025-03-28 23:37:59,0,0,NaN
2025-03-28 23:38:00,0,0,NaN
